date,open,high,low,close
2020-06-26,232.45000000,233.72000000,228.13000000,230.65000000
2020-06-27,230.72000000,231.57000000,204.77000000,216.37000000
2020-06-28,216.34000000,225.41000000,213.40000000,222.67000000
2020-06-29,222.67000000,227.50000000,218.28000000,225.28000000
2020-06-30,225.33000000,226.10000000,220.44000000,222.12000000
2020-07-01,222.11000000,226.76000000,220.56000000,223.78000000
2020-07-02,223.77000000,225.83000000,217.11000000,219.65000000
2020-07-03,219.63000000,223.80000000,218.96000000,220.73000000
2020-07-04,220.71000000,226.86000000,220.19000000,225.26000000
2020-07-05,225.26000000,225.87000000,214.52000000,222.23000000
2020-07-06,222.24000000,243.59000000,221.70000000,242.34000000
2020-07-07,242.35000000,244.39000000,235.00000000,237.83000000
2020-07-08,237.84000000,245.98000000,235.93000000,243.31000000
2020-07-09,243.29000000,245.68000000,232.99000000,238.13000000
2020-07-10,238.15000000,240.35000000,232.50000000,238.38000000
2020-07-11,238.41000000,239.40000000,234.61000000,236.59000000
2020-07-12,236.59000000,239.36000000,231.82000000,237.42000000
2020-07-13,237.44000000,237.89000000,223.83000000,232.19000000
2020-07-14,232.15000000,232.20000000,226.38000000,230.12000000
2020-07-15,230.12000000,230.80000000,225.91000000,227.40000000
2020-07-16,227.42000000,228.09000000,216.55000000,224.21000000
2020-07-17,224.21000000,225.60000000,221.88000000,222.60000000
2020-07-18,222.59000000,226.63000000,222.18000000,224.33000000
2020-07-19,224.33000000,228.85000000,220.14000000,227.73000000
2020-07-20,227.78000000,228.50000000,220.73000000,222.76000000
2020-07-21,222.76000000,232.50000000,222.22000000,230.34000000
2020-07-22,230.34000000,239.93000000,227.66000000,239.80000000
2020-07-23,239.80000000,243.05000000,234.43000000,238.39000000
2020-07-24,238.33000000,238.97000000,232.49000000,235.03000000
2020-07-25,235.04000000,253.58000000,234.77000000,251.22000000
2020-07-26,251.24000000,257.29000000,244.03000000,247.45000000
2020-07-27,247.47000000,275.28000000,247.04000000,268.62000000
2020-07-28,268.61000000,297.44000000,264.45000000,288.94000000
2020-07-29,288.92000000,294.50000000,284.95000000,287.69000000
2020-07-30,287.69000000,300.29000000,280.55000000,291.62000000
2020-07-31,291.62000000,306.56000000,287.00000000,300.50000000
2020-08-01,300.48000000,321.19000000,298.00000000,319.39000000
2020-08-02,319.38000000,337.90000000,235.50000000,284.10000000
2020-08-03,284.10000000,304.69000000,278.99000000,296.77000000
2020-08-04,296.79000000,303.14000000,281.02000000,288.07000000
2020-08-05,288.07000000,298.25000000,284.00000000,293.50000000
2020-08-06,293.56000000,320.00000000,287.33000000,309.00000000
2020-08-07,309.00000000,326.33000000,277.06000000,302.20000000
2020-08-08,302.20000000,309.58000000,297.07000000,305.33000000
2020-08-09,305.33000000,309.02000000,291.51000000,299.94000000
2020-08-10,299.95000000,309.17000000,283.75000000,302.40000000
2020-08-11,302.37000000,305.81000000,269.59000000,281.83000000
2020-08-12,281.80000000,290.20000000,270.48000000,284.67000000
2020-08-13,284.71000000,297.12000000,274.27000000,295.75000000
2020-08-14,295.78000000,297.97000000,287.02000000,293.38000000
2020-08-15,293.30000000,308.62000000,290.50000000,302.17000000
2020-08-16,302.25000000,313.92000000,293.74000000,308.23000000
2020-08-17,308.32000000,325.00000000,301.01000000,318.09000000
2020-08-18,318.02000000,324.44000000,300.50000000,303.14000000
2020-08-19,303.15000000,309.16000000,280.80000000,292.73000000
2020-08-20,292.74000000,296.32000000,288.63000000,294.69000000
2020-08-21,294.69000000,305.60000000,281.28000000,283.02000000
2020-08-22,282.99000000,287.74000000,275.90000000,286.44000000
2020-08-23,286.44000000,288.20000000,278.62000000,284.67000000
2020-08-24,284.73000000,295.10000000,281.97000000,290.63000000
2020-08-25,290.63000000,291.62000000,268.21000000,275.52000000
2020-08-26,275.52000000,279.00000000,271.00000000,274.81000000
2020-08-27,274.83000000,277.16000000,258.12000000,264.71000000
2020-08-28,264.79000000,271.93000000,261.07000000,268.66000000
2020-08-29,268.59000000,272.65000000,265.67000000,268.04000000
2020-08-30,268.02000000,279.58000000,267.64000000,279.39000000
2020-08-31,279.33000000,281.45000000,272.77000000,273.50000000
2020-09-01,273.48000000,298.05000000,268.46000000,292.07000000
2020-09-02,292.06000000,295.17000000,244.00000000,263.83000000
2020-09-03,263.94000000,266.36000000,200.73000000,213.69000000
2020-09-04,213.64000000,239.91000000,211.22000000,229.98000000
2020-09-05,229.98000000,234.91000000,214.00000000,225.71000000
2020-09-06,225.74000000,229.93000000,219.04000000,226.74000000
