date,open,high,low,close
2019-11-29,1.27650000,1.34460000,1.26940000,1.30680000
2019-11-30,1.30660000,1.35980000,1.30430000,1.33360000
2019-12-01,1.33570000,1.33580000,1.24240000,1.25270000
2019-12-02,1.25140000,1.25510000,1.20000000,1.23940000
2019-12-03,1.23930000,1.30660000,1.20470000,1.29040000
2019-12-04,1.28980000,1.32870000,1.23370000,1.24110000
2019-12-05,1.24070000,1.29560000,1.22890000,1.28870000
2019-12-06,1.28740000,1.42940000,1.27160000,1.37740000
2019-12-07,1.37700000,1.47790000,1.36300000,1.43800000
2019-12-08,1.43800000,1.61610000,1.43800000,1.59980000
2019-12-09,1.60000000,1.65000000,1.52610000,1.54970000
2019-12-10,1.55330000,1.55330000,1.39140000,1.47540000
2019-12-11,1.47690000,1.59540000,1.46570000,1.57250000
2019-12-12,1.57450000,1.78040000,1.51080000,1.75830000
2019-12-13,1.76320000,1.84330000,1.66220000,1.76850000
2019-12-14,1.77230000,1.78170000,1.62000000,1.67680000
2019-12-15,1.67670000,1.74500000,1.59670000,1.67150000
2019-12-16,1.67080000,1.71300000,1.59720000,1.66570000
2019-12-17,1.66430000,1.76730000,1.51700000,1.54300000
2019-12-18,1.54340000,1.64500000,1.42720000,1.58390000
2019-12-19,1.58400000,1.61630000,1.46160000,1.50080000
2019-12-20,1.50080000,1.60450000,1.47510000,1.60450000
2019-12-21,1.60300000,1.60730000,1.46180000,1.47090000
2019-12-22,1.47220000,1.52230000,1.44100000,1.46400000
2019-12-23,1.46400000,1.58000000,1.45750000,1.51550000
2019-12-24,1.51700000,1.51950000,1.47280000,1.48250000
2019-12-25,1.48360000,1.48830000,1.39120000,1.40160000
2019-12-26,1.40180000,1.45500000,1.33110000,1.36840000
2019-12-27,1.36820000,1.41000000,1.35360000,1.38000000
2019-12-28,1.38200000,1.38680000,1.32000000,1.32810000
2019-12-29,1.32790000,1.33990000,1.27980000,1.31140000
2019-12-30,1.30910000,1.35620000,1.28920000,1.32970000
2019-12-31,1.32960000,1.39640000,1.30270000,1.35330000
2020-01-01,1.35320000,1.37450000,1.32170000,1.37000000
2020-01-02,1.37000000,1.37830000,1.23000000,1.24280000
2020-01-03,1.24190000,1.30720000,1.23300000,1.27850000
2020-01-04,1.27980000,1.28990000,1.22160000,1.25570000
2020-01-05,1.25630000,1.28080000,1.23450000,1.25450000
2020-01-06,1.25470000,1.34000000,1.25260000,1.30470000
2020-01-07,1.30310000,1.33230000,1.25170000,1.29290000
2020-01-08,1.29690000,1.39500000,1.27650000,1.33070000
2020-01-09,1.33150000,1.36630000,1.26330000,1.28110000
2020-01-10,1.27970000,1.34880000,1.25500000,1.30640000
2020-01-11,1.30650000,1.35000000,1.29550000,1.30410000
2020-01-12,1.30400000,1.31950000,1.29500000,1.30720000
2020-01-13,1.30710000,1.30710000,1.25600000,1.27430000
2020-01-14,1.27430000,1.34710000,1.27170000,1.32480000
2020-01-15,1.32540000,1.40760000,1.28370000,1.34530000
2020-01-16,1.34530000,1.54000000,1.30050000,1.49360000
2020-01-17,1.49570000,1.54000000,1.41980000,1.47700000
2020-01-18,1.47290000,1.55000000,1.41720000,1.48060000
2020-01-19,1.47960000,1.52800000,1.36000000,1.42670000
2020-01-20,1.42300000,1.59300000,1.40680000,1.59290000
2020-01-21,1.59290000,1.61950000,1.49800000,1.53600000
2020-01-22,1.53370000,1.64440000,1.52780000,1.59370000
2020-01-23,1.59490000,1.62630000,1.49550000,1.55910000
2020-01-24,1.56000000,1.57090000,1.49550000,1.51440000
2020-01-25,1.51230000,1.54500000,1.45620000,1.49470000
2020-01-26,1.49180000,1.53000000,1.46890000,1.52560000
2020-01-27,1.52560000,1.54800000,1.48540000,1.52070000
2020-01-28,1.52040000,1.58000000,1.50800000,1.55080000
2020-01-29,1.55100000,1.68810000,1.53880000,1.56980000
2020-01-30,1.57000000,1.71000000,1.55740000,1.67730000
2020-01-31,1.68210000,1.72400000,1.64550000,1.65640000
2020-02-01,1.65860000,1.74900000,1.65490000,1.74900000
2020-02-02,1.74830000,2.00940000,1.69210000,1.92900000
2020-02-03,1.92610000,2.10990000,1.87000000,1.99680000
2020-02-04,1.99660000,2.04000000,1.88650000,1.92300000
2020-02-05,1.92320000,2.23290000,1.91090000,2.14410000
2020-02-06,2.14410000,2.25000000,2.11730000,2.16910000
2020-02-07,2.16920000,2.26400000,2.15770000,2.19000000
2020-02-08,2.18990000,2.31970000,2.01000000,2.29470000
2020-02-09,2.29470000,2.74900000,2.28200000,2.64230000
2020-02-10,2.64210000,2.73840000,2.46140000,2.62200000
2020-02-11,2.62190000,2.95870000,2.54520000,2.91140000
2020-02-12,2.91140000,3.60890000,2.90610000,3.30010000
2020-02-13,3.30010000,3.39200000,2.91150000,3.12390000
2020-02-14,3.11600000,3.55760000,3.03540000,3.47970000
2020-02-15,3.47860000,3.54990000,2.96890000,3.20480000
2020-02-16,3.20480000,3.30000000,2.74800000,3.24990000
2020-02-17,3.25000000,3.25000000,2.75280000,3.16090000
2020-02-18,3.16100000,3.55660000,3.08920000,3.43280000
2020-02-19,3.43690000,3.96000000,3.33940000,3.55390000
2020-02-20,3.54430000,3.89990000,3.43810000,3.61240000
2020-02-21,3.61020000,3.76000000,3.37920000,3.48180000
2020-02-22,3.48000000,3.53500000,3.24150000,3.29980000
2020-02-23,3.30480000,3.59000000,3.29920000,3.52000000
2020-02-24,3.52010000,3.52900000,2.94000000,3.18500000
2020-02-25,3.18320000,3.19930000,2.71110000,2.81180000
2020-02-26,2.80700000,2.99000000,2.52600000,2.75390000
2020-02-27,2.75390000,2.99540000,2.47000000,2.80000000
2020-02-28,2.80000000,2.91000000,2.62050000,2.78450000
